F,DT,T,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
20294,0.0166658,3.81528368219733,-2.375964,0.4912222,-1.608065,9.628294,7.544731,359.5056
20296,0.0166673,3.83195098303258,-2.375876,0.4911629,-1.608219,9.722176,7.658362,359.4636
20302,0.0166666,3.84861758351326,-2.376164,0.4905342,-1.608928,9.881581,7.845326,359.4266
20304,0.0166668,3.86528438329697,-2.376463,0.4902065,-1.609344,9.968803,7.935036,359.4268
20308,0.0166671,3.88195148296654,-2.376753,0.4894981,-1.609804,10.12477,8.098716,359.4485
20310,0.0166671,3.89861858263612,-2.376928,0.4887629,-1.609981,10.22182,8.19163,359.4783
20314,0.0166664,3.91528498195112,-2.377548,0.487784,-1.610363,10.36783,8.319627,359.5281
20316,0.0166668,3.93195178173482,-2.377995,0.486945,-1.610588,10.45065,8.377516,359.5602
20322,0.016667,3.94861878082156,-2.378479,0.4858453,-1.610793,10.63029,8.443933,359.6451
20324,0.0166668,3.96528558060527,-2.378716,0.4854749,-1.610938,10.77241,8.464844,359.7051
20328,0.0166672,3.98195278085768,-2.379119,0.484137,-1.610855,11.10263,8.467714,359.8438
20330,0.016667,3.99861977994442,-2.379155,0.4830821,-1.610726,11.32825,8.455391,359.9256
20334,0.0166681,4.01528787985444,-2.379684,0.4812706,-1.610881,11.93579,8.408673,0.115073
20338,0.0166663,4.03195418044925,-2.379874,0.4800788,-1.610936,12.35946,8.369393,0.229267
20342,0.0166667,4.04862087965012,-2.380306,0.4779928,-1.611007,13.28638,8.28407,0.4476812
20344,0.0166665,4.06528737954795,-2.380566,0.4766485,-1.611024,13.8416,8.234135,0.5619621
20348,0.016667,4.08195437863469,-2.38119,0.4737823,-1.611171,15.18261,8.122828,0.7862079
20350,0.0166679,4.09862227924168,-2.381483,0.4720716,-1.611203,15.94553,8.071665,0.8892368
20354,0.0166662,4.11528847925365,-2.38203,0.4687853,-1.611176,17.50137,7.994685,1.085489
20356,0.0166666,4.13195507973433,-2.382284,0.4669521,-1.611076,18.38138,7.967896,1.196053
20362,0.0166673,4.14862238056958,-2.383014,0.4644815,-1.610645,19.96902,7.958487,1.442423
20364,0.0166671,4.16528948023915,-2.383089,0.4630136,-1.610371,20.79428,7.967113,1.578689
20368,0.0166665,4.18195598013699,-2.383977,0.4607608,-1.609629,22.10897,8.028765,1.832279
20370,0.0166671,4.19862307980657,-2.384198,0.4593903,-1.609345,22.68507,8.06337,1.928413
20374,0.0166672,4.21529028005898,-2.384942,0.4576701,-1.608724,23.66558,8.159396,2.077362
20376,0.0166666,4.23195688053966,-2.385572,0.4569316,-1.60844,24.23064,8.231969,2.145607
20382,0.0166682,4.24862508103251,-2.386176,0.455709,-1.607819,25.02337,8.351124,2.212366
20384,0.0166657,4.26529078185558,-2.386079,0.4554458,-1.607365,25.3911,8.414722,2.239724
20388,0.0166668,4.28195758163929,-2.385606,0.4550059,-1.606837,26.04193,8.547966,2.26233
20390,0.0166668,4.298624381423,-2.385852,0.4544291,-1.606628,26.36325,8.619761,2.282279
20394,0.0166674,4.31529178097844,-2.385695,0.4540383,-1.606254,26.83746,8.720903,2.312309
20396,0.0166685,4.33196028135717,-2.385541,0.4539051,-1.606206,27.13233,8.773934,2.32318
20400,0.0166657,4.34862598218024,-2.385554,0.4535632,-1.606127,27.55558,8.859207,2.325356
